time,y1,y2,y3,y4,y5,y6
0,-5007.248417988539,-1444.918140151374,3628.534606178356,0.717716656891,-10.224093784269,0.748229399696
60,-4950.496964920875,-2053.8479158338037,3663.4401444442087,1.168172811054712,-10.066134835244258,0.41840224282354593
120,-4867.79534665583,-2652.050252791076,3679.146885432363,1.582308954415573,-9.867969575616364,0.10873159320754425
180,-4761.379125075462,-3237.37251863662,3676.9346670686164,1.9585353061097088,-9.63819718224545,-0.17864071238362195
240,-4633.53081743284,-3808.1629359954923,3658.176605127298,2.2968154859795664,-9.38484567223248,-0.44271346259487987
300,-4486.49789298136,-4363.2259671782895,3624.2771214154172,2.598291398725668,-9.115057605720857,-0.6834056182412437
360,-4322.433078073694,-4901.764007651589,3576.6236904938332,2.8649224887752442,-8.834941944442306,-0.9013255658395751
420,-4143.354951535392,-5423.314164370987,3516.551980328925,3.0991740443353546,-8.549551068040842,-1.0975589760727007
480,-3951.1253718474795,-5927.686336774248,3445.32275804176,3.3037688480374916,-8.26294048170043,-1.2734902897347198
540,-3747.4398718155394,-6414.906436680338,3364.1083624828398,3.4815025152542067,-7.978275135014655,-1.4306624533224899
600,-3533.8273973430805,-6885.166690937193,3273.9864814088155,3.635115065305761,-7.697955508187568,-1.5706730276254148
660,-3311.6563280599507,-7338.783635807776,3175.939195673456,3.7672080948392233,-7.423745609226492,-1.6951015098396784
720,-3082.1443744310122,-7776.163569705769,3070.855603381334,3.8801966450053906,-7.156892335270467,-1.8054616295108215
780,-2846.370568218704,-8197.774766852264,2959.5367096139507,3.976286085767983,-6.8982309342269845,-1.9031725855957675
840,-2605.288090889931,-8604.125550606068,2842.7016064532986,4.057466146288657,-6.64827477782296,-1.9895440145125323
900,-2359.737100814953,-8995.747286230271,2720.994250325501,4.12551606482931,-6.407289733305946,-2.065770498519875
960,-2110.4570314941384,-9373.18140703221,2594.9903649981716,4.182016454581328,-6.175354519575974,-2.1329324093471715
1020,-1858.0980565123539,-9736.969687145243,2465.2041647366905,4.228364794693236,-5.952408901578365,-2.1920007303946525
1080,-1603.231570440538,-10087.647089919483,2332.0947120550704,4.265792459011477,-5.738291665404996,-2.24384418185542
1140,-1346.3596371491947,-10425.736634431689,2196.071808807867,4.295381931378415,-5.532770202949495,-2.289237494674044
1200,-1087.923421392477,-10751.745826382787,2057.5013763897123,4.318083377999303,-5.335563323839339,-2.328870064653131
1260,-828.310657772839,-11066.16428956376,1916.7103181183643,4.334730106333015,-5.146358671226912,-2.363354494855801
1320,-567.8622318088808,-11369.462309448802,1773.990880256264,4.346052679780787,-4.964825882273009,-2.3932347284888684
1380,-306.877956619904,-11662.090062446123,1629.6045417226119,4.3526916123042785,-4.790626420819443,-2.418993607175923
1440,-45.62163020935802,-11944.477354273708,1483.7854696325267,4.3552086630107665,-4.623420826041163,-2.44105977800042
1500,215.67454473532712,-12217.033730829615,1336.7435805382875,4.3540968067043275,-4.4628739672957565,-2.4598139299608843
1560,476.8061021468284,-12480.148856428003,1188.6672472591797,4.34978898583036,-4.30865876981705,-2.4755943760414376
1620,737.5929453729918,-12734.193079007997,1039.7256895279772,4.3426657615717374,-4.160458774728959,-2.4887020179052977
1680,997.8764090050827,-12979.518121218047,890.0710840942743,4.333061983518806,-4.01796981626642,-2.499404741164916
1740,1257.5166943304907,-13216.457851266368,739.8404268864011,4.321272592664326,-3.880901035418975,-2.507941293703481
1800,1516.3906296534922,-13445.3290990199,589.1571766558956,4.3075576643269295,-3.748975399223559,-2.5145246999819775
1860,1774.3897128355206,-13666.432491767462,438.1327064028871,4.2921467878251045,-3.6219298558723225,-2.519345262270646
1920,2031.418398907889,-13880.053290922371,286.86758592114217,4.275242869465909,-3.49951522539522,-2.522573196367064
1980,2287.3926005007406,-14086.462216187141,135.45271606697997,4.257025435373252,-3.381495902077817,-2.5243609453097933
2040,2542.238373136717,-14285.916247701278,-16.029667125965094,4.237653501255567,-3.2676494265047222,-2.524845210318648
2100,2795.8907612010216,-14478.659399724624,-167.5051025905607,4.217268067596627,-3.1577659710057486,-2.5241487339674618
2160,3048.292783672492,-14664.923461695003,-318.9061147119321,4.195994291023607,-3.0516477714016492,-2.5223818665878173
2220,3299.394541535468,-14844.928704210239,-470.17151198542524,4.173943375760552,-2.949108529576215,-2.5196439431994304
